"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","G",0,"G",0,"J",526,5,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA","G",7487,"G",106412,"G",447951,460,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",7928,"H",85002,"H",378297,513,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",277,"H",3077,"H",16650,22,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","J",33,"H",262,"G",1815,5,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","H",947,"H",10225,"H",43890,104,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1747,"G",16736,"G",71419,230,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","J",137,"H",1018,"H",4603,22,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","H",85,"G",820,"G",3090,11,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",527,"H",6654,"H",31745,93,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","J",26,"G",245,"G",1552,10,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","H",76,"H",769,"G",3191,13,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","H",4831,"H",59527,"H",239395,299,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",8947,"G",118628,"G",477377,539,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","H",139,"H",1174,"H",4716,6,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",2967,"G",41907,"G",178380,69,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","G",120,"H",1013,"H",5107,22,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","H",3949,"H",49285,"G",218139,429,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",7941,"G",101003,"G",417858,509,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","G",150,"H",1652,"H",8075,20,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","G",1239,"G",11431,"G",51503,225,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","G",156,"H",1714,"H",6827,19,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","G",108,"G",1236,"G",6060,27,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","G",732,"G",7833,"G",35860,133,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","G",125,"H",1592,"H",7221,34,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",5356,"H",54036,"H",217356,301,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","H",925,"H",9438,"H",44254,109,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",299,"J",3690,"J",17669,16,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","G",1307,"H",21366,"H",87026,69,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","J",287,"J",3362,"H",14399,32,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",16879,"G",231490,"G",929704,827,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","H",804,"H",10979,"H",47427,19,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","H",221,"H",2146,"H",10093,32,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1693,"H",37287,"H",149590,36,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","J",74,"G",738,"G",3434,30,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4175,"G",50815,"G",233222,413,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","G",831,"G",10181,"G",45046,139,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","J",49,"H",562,"H",2330,5,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",11833,"G",169741,"G",693259,698,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","H",118,"H",1447,"H",6658,17,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1720,"G",23079,"G",92294,201,"FLORENCE","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",59,"J",1122,"J",4648,6,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","H",89,"G",1071,"G",5604,37,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","H",3403,"H",45035,"H",183714,244,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","H",29,"G",223,"G",1197,13,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","H",126,"G",755,"H",3642,18,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","H",64,"H",452,"H",2198,16,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","H",1074,"H",12744,"H",55448,126,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","J",66,"J",781,"J",3445,8,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",4437,"G",47912,"G",195612,296,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",2191,"G",24468,"G",104649,220,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","G",52,"G",510,"H",2262,7,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","G",279,"G",2826,"G",10469,37,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","H",76,"G",503,"G",2461,23,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",2160,"H",29597,"H",107074,161,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","H",323,"H",5737,"H",24288,36,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA","J",39,"H",460,"H",1975,5,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA","G",14150,"G",189784,"G",774072,858,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","H",631,"H",5989,"H",24007,16,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","H",506,"G",5078,"G",25817,35,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",14507,"G",185550,"G",760034,909,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","H",146,"G",2156,"G",9442,18,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","J",53,"J",579,"H",2603,16,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","H",302,"H",5013,"H",20813,29,"WHATELY","MA","FRANKLIN"
"01095","WILBRAHAM, MA","G",4061,"G",43736,"G",182439,315,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA","H",237,"G",2192,"G",9502,50,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA","H",128,"H",1624,"H",6506,19,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA","J",166,"H",1171,"H",5200,14,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","J",2592,"J",50035,"J",188209,13,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA","H",7545,"H",89742,"H",373364,378,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA","G",16297,"H",278105,"H",1179904,514,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA","G",5495,"G",68774,"G",284685,253,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA","H",3774,"H",37661,"H",158081,282,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA","G",2700,"G",47788,"G",212431,127,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA","G",2269,"H",28071,"H",120755,241,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA","H",6335,"H",59936,"H",239202,309,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","J",3277,"J",211393,"J",487824,7,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA","G",1050,"G",27469,"G",89396,40,"SPRINGFIELD","MA","HAMPDEN"
"01116","LONGMEADOW, MA","J",136,"J",11213,"J",29663,6,"LONGMEADOW","MA","HAMPDEN"
"01118","SPRINGFIELD, MA","G",1327,"G",12845,"G",51090,148,"SPRINGFIELD","MA","HAMPDEN"
